gaussWindow,mgp,minArea,diffMethod,winSize,maxLevel,realFps,avNbBoxes,avNbFilteredBoxes,avNbHeliBox,percentHeliTotalFiltered,percentFrameWithHeli
7,75,16,0,3,7,111.32170953200645,3.5426695842450764,1.087527352297593,0.3916849015317287,0.36016096579476864,0.3165938864628821
5,100,4,0,3,1,121.31505519835011,18.84172137126185,12.478482859226842,0.6943836615609045,0.05564648117839607,0.5334788937409025
7,100,16,0,5,7,112.16051851791386,3.4952589350838803,0.9241429613420861,0.39095550692924874,0.4230465666929756,0.31004366812227074
7,125,9,0,9,1,116.14310554999213,4.091174325309993,0.9314369073668854,0.3938730853391685,0.4228660924040721,0.3129548762736536
5,75,16,0,3,7,116.8937104377746,9.951859956236325,5.765864332603939,0.7330415754923414,0.127134724857685,0.5625909752547307
7,100,9,0,11,4,109.71450911301169,4.487235594456601,0.9263311451495259,0.3967906637490883,0.42834645669291344,0.3129548762736536
5,125,4,0,7,7,114.76944038955455,7.665937272064187,3.327498176513494,0.7038657913931436,0.2115300306882946,0.5342066957787481
7,125,9,0,5,4,112.38409776467702,3.684901531728665,0.9175784099197666,0.39314369073668853,0.42845786963434024,0.31004366812227074
5,75,25,0,9,7,114.66329008034859,7.897155361050328,1.787746170678337,0.5550692924872356,0.31048551611587105,0.43231441048034935
5,125,1,0,7,7,115.26063373719015,7.665937272064187,3.327498176513494,0.7038657913931436,0.2115300306882946,0.5342066957787481
5,125,1,0,13,7,95.78797144291472,9.073668854850474,3.490153172866521,0.6943836615609045,0.19895506792058515,0.5305676855895196
7,100,25,0,7,4,86.40308485424353,3.923413566739606,0.6301969365426696,0.325309992706054,0.5162037037037037,0.26419213973799127
7,100,9,0,11,7,99.13258268660265,4.4318016046681254,0.9190371991247265,0.39314369073668853,0.42777777777777776,0.31004366812227074
7,75,1,0,13,1,114.98977980210375,3.9700948212983223,0.9161196207148067,0.3975200583515682,0.4339171974522293,0.3165938864628821
5,75,16,0,9,4,117.98513335797797,7.8650619985412105,3.3202042304886943,0.6943836615609045,0.2091388400702988,0.5305676855895196
5,125,25,0,13,1,120.54088643346539,9.033552151714078,1.8760029175784099,0.5594456601021153,0.29821150855365475,0.42867540029112083
5,125,16,0,9,1,121.06414857936862,8.156819839533187,3.3829321663019694,0.6936542669584245,0.20504527813712806,0.5291120815138283
7,75,16,0,5,7,113.09814844996271,3.12618526622903,0.950401167031364,0.4048140043763676,0.4259401381427475,0.3231441048034934
7,125,4,0,9,1,115.52901695400936,4.091174325309993,0.9314369073668854,0.3938730853391685,0.4228660924040721,0.3129548762736536
5,75,4,0,9,4,117.19383707122536,7.8650619985412105,3.3202042304886943,0.6943836615609045,0.2091388400702988,0.5305676855895196
7,100,25,0,5,1,117.96267640313769,3.901531728665208,0.6214442013129103,0.325309992706054,0.5234741784037559,0.26055312954876275
7,100,1,0,9,7,111.1746638928561,4.174325309992706,0.9350838803792852,0.3975200583515682,0.42511700468018715,0.31149927219796214
5,125,9,0,3,7,116.72149207105127,10.99343544857768,4.905908096280087,0.6973012399708242,0.14213499851323222,0.5407569141193596
7,75,4,0,13,7,110.38136762514488,3.9591539022611233,0.9161196207148067,0.4011670313639679,0.43789808917197454,0.3165938864628821
7,100,4,0,11,1,113.43365745033336,4.4901531728665205,0.9197665937272064,0.3938730853391685,0.42823156225218084,0.31077147016011647
7,125,25,0,13,1,114.16682315442766,4.590809628008753,0.6185266229029905,0.32166301969365424,0.5200471698113207,0.2561863173216885
5,75,4,0,9,7,117.0371408933818,7.897155361050328,3.3216630196936543,0.6943836615609045,0.20904699165568733,0.5342066957787481
5,125,4,0,9,1,123.25027664035893,8.156819839533187,3.3829321663019694,0.6936542669584245,0.20504527813712806,0.5291120815138283
5,125,16,0,5,4,118.19740187658591,7.428154631655726,3.3690736688548504,0.6973012399708242,0.2069712058887205,0.529839883551674
7,125,9,0,11,7,107.88736747285384,4.552151714077316,0.9547775346462436,0.39460247994164843,0.413292589763178,0.31149927219796214
5,125,1,0,11,1,120.31185463175686,8.86214442013129,3.50255288110868,0.6907366885485048,0.19720949604331528,0.5320232896652111
5,125,16,0,11,1,120.14793411136262,8.86214442013129,3.50255288110868,0.6907366885485048,0.19720949604331528,0.5320232896652111
5,75,16,0,11,7,116.77864327694131,7.810357403355215,3.264770240700219,0.6987600291757841,0.21403038427167112,0.5334788937409025
5,100,25,0,5,7,117.16004061548074,7.285193289569658,1.825674690007294,0.5587162654996353,0.3060327606871754,0.42867540029112083
5,125,1,0,5,1,123.18430900864603,7.441283734500365,3.3595915390226114,0.6958424507658644,0.20712114633087278,0.5320232896652111
5,75,1,0,13,1,120.8067676408434,8.024070021881839,3.3676148796498904,0.700948212983224,0.20814381633095086,0.5342066957787481
7,100,25,0,3,1,117.16717402156456,7.654996353026988,2.3107221006564553,0.30926331145149527,0.13383838383838384,0.2540029112081514
7,125,1,0,9,4,111.02247089962866,4.050328227571116,0.9314369073668854,0.3982494529540481,0.42756460454189504,0.3165938864628821
7,125,9,0,7,1,116.43828999439164,3.891320204230489,0.9190371991247265,0.40554339897884756,0.44126984126984126,0.32023289665211063
5,125,9,0,13,7,112.17456517660636,9.073668854850474,3.490153172866521,0.6943836615609045,0.19895506792058515,0.5305676855895196
5,100,16,0,5,7,117.22507265139055,7.285193289569658,3.353756382202772,0.7045951859956237,0.21009134406263594,0.5356622998544396
7,100,25,0,7,1,116.82905536906459,3.914660831509847,0.6338439095550693,0.3296863603209336,0.5201380897583429,0.26564774381368267
5,100,1,0,3,1,121.64691866761387,18.84172137126185,12.478482859226842,0.6943836615609045,0.05564648117839607,0.5334788937409025
7,100,16,0,13,7,109.13985955272832,4.572574762946754,0.9110138584974471,0.3975200583515682,0.4363490792634107,0.31368267831149926
5,75,1,0,3,7,117.49187176865286,9.951859956236325,5.765864332603939,0.7330415754923414,0.127134724857685,0.5625909752547307
7,100,9,0,7,1,117.11670935800865,3.914660831509847,0.9212253829321663,0.4011670313639679,0.435471100554236,0.3158660844250364
7,100,9,0,7,4,110.62369947711382,3.923413566739606,0.9073668854850474,0.3975200583515682,0.4381028938906752,0.31513828238719066
